idx,class,conversation
0,일상 대화,"좋은 저녁
오늘까지 가능해??!
장소는 어디로 할까??
확인했어
감사합니다
그럼 이따 연락할게
하이
이번 주 마감 괜찮겠어??
혹시 다시 한 번 보내줄래?
넵"
1,일상 대화,"좋은 아침
오늘 일정 어때?!
커피 한 잔 할래?
그럼 몇 시가 좋아?
알겠어
조심히 들어가
안녕
지금 어디야??
내일 잠깐 볼 수 있어??
그럼 몇 시가 좋아?? ㅎㅎ"
2,일상 대화,"안녕
시험 범위 정리했어??
정확히 뭐가 필요한 거야??
넵
진짜 고마워
내일 보자
안녕
수업 자료 봤어?
정확히 뭐가 필요한 거야?
넵!"
3,일상 대화,"좋은 저녁
오늘 일정 어때??
오늘 저녁 시간 돼?
그럼 몇 시가 좋아?
넵
내일 보자
좋은 아침
바빠??
오늘 저녁 시간 돼??
그럼 몇 시가 좋아??
넵"
4,일상 대화,"좋은 아침
추천해줄 만해?
장소는 어디로 할까?
좋아
고마워!
그럼 이따 연락할게
안녕하세요 ㅎㅎ
그거 어디서 샀어??
그럼 몇 시가 좋아?
넵
진짜 고마워
좋은 하루 보내"
5,일상 대화,"좋은 저녁
바빠? ㅎㅎ
점심 뭐 먹을까??
그럼 몇 시가 좋아??
응응
그럼 이따 연락할게
좋은 아침
시간 괜찮아?
커피 한 잔 할래??
정확히 뭐가 필요한 거야?!"
6,일상 대화,"오랜만
가격 괜찮아?
그거 말한 거 맞지?
알겠어
진짜 고마워 ㅎㅎ
그럼 이따 연락할게
좋은 아침
그거 어디서 샀어? ㅎㅎ
장소는 어디로 할까?
넵
땡큐
조심히 들어가"
7,일상 대화,"안녕하세요
시험 범위 정리했어?
그럼 몇 시가 좋아?
오케이
감사합니다
내일 보자
좋은 아침
교수님 공지 봤어??
그럼 몇 시가 좋아?
오케이
덕분에 살았다"
8,일상 대화,"좋은 저녁
파일 공유해줄 수 있어??!
정확히 뭐가 필요한 거야? ㅎㅎ
알겠어
땡큐
그럼 이따 연락할게
좋은 저녁
이번 주 마감 괜찮겠어?
혹시 다시 한 번 보내줄래?
오케이"
9,일상 대화,"좋은 저녁
파일 공유해줄 수 있어?
장소는 어디로 할까?
응응 ㅎㅎ
덕분에 살았다
내일 보자
안녕!
파일 공유해줄 수 있어??
혹시 다시 한 번 보내줄래?
확인했어"
10,일상 대화,"오랜만
시간 괜찮아? ㅎㅎ
오늘 저녁 시간 돼??
그럼 몇 시가 좋아?
응응
좋은 하루 보내
안녕!
시간 괜찮아?
커피 한 잔 할래? ㅎㅎ
혹시 다시 한 번 보내줄래?
좋아
조심히 들어가"
11,일상 대화,"안녕하세요
그 건 일정 어떻게 돼?
그럼 몇 시가 좋아?
넵
땡큐
내일 보자
좋은 저녁
그 건 일정 어떻게 돼?
그럼 몇 시가 좋아??
오케이"
12,일상 대화,"안녕하세요
비 온대
뭐 해?
주말에 뭐 할 거야??
응응 ㅎㅎ
그럼 이따 연락할게
좋은 저녁
날씨 진짜 좋다
시간 괜찮아?
내일 잠깐 볼 수 있어?"
13,일상 대화,"오랜만
가격 괜찮아?
혹시 다시 한 번 보내줄래?
좋아
감사합니다
내일 보자
하이
그거 어디서 샀어??
그거 말한 거 맞지? ㅎㅎ
넵!"
14,일상 대화,"오랜만
스터디 언제 할래?
장소는 어디로 할까?
응응
땡큐
내일 보자
하이
과제 어디까지 했어?
그럼 몇 시가 좋아??
좋아"
15,일상 대화,"오랜만
추천해줄 만해??
그럼 몇 시가 좋아?
알겠어!
감사합니다
그럼 이따 연락할게
좋은 저녁
추천해줄 만해?
장소는 어디로 할까?!
좋아"
16,일상 대화,"하이
추천해줄 만해?
혹시 다시 한 번 보내줄래?
넵
땡큐
조심히 들어가 ㅎㅎ
하이
배송은 빨라?
혹시 다시 한 번 보내줄래?
응응
덕분에 살았다
그럼 이따 연락할게"
17,일상 대화,"좋은 아침
그거 어디서 샀어?
혹시 다시 한 번 보내줄래?
확인했어
진짜 고마워
좋은 하루 보내
좋은 저녁
배송은 빨라?
장소는 어디로 할까?
넵"
18,일상 대화,"오랜만
날씨 진짜 좋다
지금 어디야?
커피 한 잔 할래??
넵
조심히 들어가
오랜만
오늘 춥다
뭐 해?
커피 한 잔 할래?"
19,일상 대화,"좋은 아침
오늘 일정 어때?? ㅎㅎ
주말에 뭐 할 거야?? ㅎㅎ
그거 말한 거 맞지? ㅎㅎ
넵
내일 보자
좋은 아침
시간 괜찮아?
내일 잠깐 볼 수 있어?
그거 말한 거 맞지?"
20,일상 대화,"오랜만
그 건 일정 어떻게 돼?
그거 말한 거 맞지? ㅎㅎ
좋아
감사합니다
나중에 봐
하이
그 건 일정 어떻게 돼?
장소는 어디로 할까?
좋아"
21,일상 대화,"좋은 저녁
교수님 공지 봤어?!
정확히 뭐가 필요한 거야?!
알겠어
진짜 고마워!
조심히 들어가
안녕하세요
시험 범위 정리했어??
정확히 뭐가 필요한 거야?
좋아"
22,일상 대화,"하이
스터디 언제 할래?
혹시 다시 한 번 보내줄래??
넵!
진짜 고마워!
나중에 봐
좋은 저녁!
시험 범위 정리했어?"
23,일상 대화,"안녕 ㅎㅎ
사이즈 어때?!
정확히 뭐가 필요한 거야??
응응
감사합니다
나중에 봐
하이
추천해줄 만해??
장소는 어디로 할까?
응응"
24,일상 대화,"안녕
교수님 공지 봤어?
정확히 뭐가 필요한 거야?
넵
감사합니다
좋은 하루 보내
안녕
스터디 언제 할래?
장소는 어디로 할까? ㅎㅎ
넵
땡큐"
25,일상 대화,"좋은 저녁
지금 어디야??
내일 잠깐 볼 수 있어?
그거 말한 거 맞지?
응응!
그럼 이따 연락할게
오랜만
바빠?
점심 뭐 먹을까?
그럼 몇 시가 좋아? ㅎㅎ"
26,일상 대화,"안녕하세요
사이즈 어때?? ㅎㅎ
그거 말한 거 맞지?
알겠어
덕분에 살았다
좋은 하루 보내
안녕하세요 ㅎㅎ
추천해줄 만해??
정확히 뭐가 필요한 거야?
응응"
27,일상 대화,"좋은 아침
과제 어디까지 했어?
그거 말한 거 맞지?
넵
덕분에 살았다
조심히 들어가
오랜만
수업 자료 봤어?
혹시 다시 한 번 보내줄래? ㅎㅎ
알겠어
땡큐"
28,일상 대화,"오랜만
오늘 춥다
바빠?
점심 뭐 먹을까? ㅎㅎ
알겠어
좋은 하루 보내
오랜만
날씨 진짜 좋다
오늘 일정 어때?
점심 뭐 먹을까?
넵"
29,일상 대화,"좋은 저녁
오늘 일정 어때?!
점심 뭐 먹을까?
그거 말한 거 맞지??
확인했어
나중에 봐
하이
시간 괜찮아?!
오늘 저녁 시간 돼??
혹시 다시 한 번 보내줄래??"
30,일상 대화,"안녕
과제 어디까지 했어?
장소는 어디로 할까?!
좋아
진짜 고마워
나중에 봐
안녕하세요
교수님 공지 봤어??
장소는 어디로 할까?
오케이"
31,일상 대화,"좋은 아침
회의 자료 다 됐어??
그럼 몇 시가 좋아?
오케이
진짜 고마워 ㅎㅎ
나중에 봐
안녕 ㅎㅎ
파일 공유해줄 수 있어?
정확히 뭐가 필요한 거야??
오케이"
32,일상 대화,"좋은 아침
비 온대
시간 괜찮아?
내일 잠깐 볼 수 있어?
알겠어
좋은 하루 보내
하이
오늘 춥다
뭐 해?
오늘 저녁 시간 돼?
넵"
33,일상 대화,"오랜만
배송은 빨라?
그거 말한 거 맞지?
알겠어
고마워!
그럼 이따 연락할게
하이
추천해줄 만해?!
혹시 다시 한 번 보내줄래??
좋아"
34,일상 대화,"좋은 아침
회의 자료 다 됐어??
정확히 뭐가 필요한 거야?
넵
감사합니다
그럼 이따 연락할게
하이
그 건 일정 어떻게 돼?
혹시 다시 한 번 보내줄래?
좋아 ㅎㅎ
진짜 고마워 ㅎㅎ"
35,일상 대화,"안녕하세요
회의 자료 다 됐어??
정확히 뭐가 필요한 거야?
확인했어
고마워!
그럼 이따 연락할게
좋은 아침
이번 주 마감 괜찮겠어?? ㅎㅎ
그거 말한 거 맞지?
응응"
36,일상 대화,"하이
날씨 진짜 좋다
지금 어디야??
커피 한 잔 할래?
확인했어
내일 보자
안녕하세요
오늘 춥다
바빠?
내일 잠깐 볼 수 있어?"
37,일상 대화,"안녕하세요
시험 범위 정리했어?
그럼 몇 시가 좋아?!
좋아 ㅎㅎ
고마워!
좋은 하루 보내
좋은 저녁
교수님 공지 봤어?
장소는 어디로 할까?
좋아"
38,일상 대화,"안녕
파일 공유해줄 수 있어?
혹시 다시 한 번 보내줄래?
오케이
고마워!
좋은 하루 보내
좋은 저녁
그 건 일정 어떻게 돼?
혹시 다시 한 번 보내줄래?
알겠어"
39,일상 대화,"좋은 아침
수업 자료 봤어?
그거 말한 거 맞지??
오케이
감사합니다
내일 보자
안녕
교수님 공지 봤어?
그럼 몇 시가 좋아?
넵"
40,일상 대화,"안녕하세요!
날씨 진짜 좋다
바빠?
커피 한 잔 할래?
응응
나중에 봐
오랜만
비 온대
시간 괜찮아??
오늘 저녁 시간 돼?
오케이
조심히 들어가
하이"
41,일상 대화,"오랜만
배송은 빨라?
혹시 다시 한 번 보내줄래??
확인했어
감사합니다 ㅎㅎ
좋은 하루 보내
좋은 저녁
그거 어디서 샀어??
그거 말한 거 맞지?
좋아
진짜 고마워"
42,일상 대화,"좋은 아침
추천해줄 만해??
그거 말한 거 맞지?
확인했어
고마워!
나중에 봐
하이 ㅎㅎ
가격 괜찮아?? ㅎㅎ
혹시 다시 한 번 보내줄래??
넵"
43,일상 대화,"오랜만
지금 어디야?
주말에 뭐 할 거야?
정확히 뭐가 필요한 거야??
오케이
좋은 하루 보내
오랜만 ㅎㅎ
오늘 일정 어때?
오늘 저녁 시간 돼??
정확히 뭐가 필요한 거야?"
44,일상 대화,"하이
오늘까지 가능해??
정확히 뭐가 필요한 거야?
좋아
덕분에 살았다
좋은 하루 보내
하이 ㅎㅎ
이번 주 마감 괜찮겠어?
그럼 몇 시가 좋아??
확인했어"
